,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
0,TATASTEEL,EQ,01-Mar-2024,140.85,143.0,150.65,143.0,150.55,149.95,147.83,"12,37,09,943","18,28,82,83,973.95","4,52,172","5,25,24,625",42.46
1,TATASTEEL,EQ,02-Mar-2024,149.95,152.0,156.2,151.0,155.35,155.25,154.02,"2,16,43,047","3,33,34,79,361.50","1,39,508","85,80,625",39.65
2,TATASTEEL,EQ,04-Mar-2024,155.25,154.9,154.9,151.05,153.0,153.1,153.02,"6,75,77,785","10,34,07,52,738.50","4,53,939","2,24,25,256",33.18
3,TATASTEEL,EQ,05-Mar-2024,153.1,153.2,154.0,150.75,152.0,151.85,152.4,"3,71,65,490","5,66,41,92,406.90","2,55,164","1,36,32,526",36.68
4,TATASTEEL,EQ,06-Mar-2024,151.85,151.8,152.65,147.9,151.75,151.6,149.88,"5,17,82,444","7,76,11,23,617.70","2,48,968","2,26,20,351",43.68
5,TATASTEEL,EQ,07-Mar-2024,151.6,152.4,159.15,152.25,157.05,157.25,156.5,"12,48,47,699","19,53,90,09,874.65","5,69,247","3,30,57,420",26.48
6,TATASTEEL,EQ,11-Mar-2024,157.25,158.9,158.9,153.0,153.75,153.45,154.27,"5,41,55,385","8,35,45,83,831.05","3,50,516","2,11,57,322",39.07
7,TATASTEEL,EQ,12-Mar-2024,153.45,154.2,154.55,150.9,152.3,152.5,152.46,"3,49,47,937","5,32,81,22,657.40","2,51,671","1,15,70,218",33.11
8,TATASTEEL,EQ,13-Mar-2024,152.5,152.8,152.9,142.5,143.35,143.65,146.32,"7,09,37,597","10,37,94,00,488.50","3,86,517","3,22,20,241",45.42
9,TATASTEEL,EQ,14-Mar-2024,143.65,143.6,143.95,138.35,142.7,142.45,141.39,"9,19,56,952","13,00,14,14,682.75","4,73,239","2,89,35,556",31.47
10,TATASTEEL,EQ,15-Mar-2024,142.45,142.9,143.7,139.85,141.8,141.7,141.75,"6,84,82,621","9,70,77,07,220.45","3,40,024","2,66,16,610",38.87
11,TATASTEEL,EQ,18-Mar-2024,141.7,142.55,150.25,142.2,148.8,149.7,147.47,"16,69,13,078","24,61,39,25,688.70","5,75,951","6,32,06,078",37.87
